Unigram,Frequency
sketches,16
given,459
charitable,18
institutions,73
sponsored,36
exhibited,32
covers,64
dust,33
jackets,8
Picturesque,2
Allies,20
1915,81
Seaside,3
Holidays,2
Shakespeare,57
Boy,96
Girl,47
1920,71
Old,209
Rhymes,12
Times,253
1928,60
Lord,127
Rushie,3
1938,65
tale,50
girl,123
swans,2
riverbank,2
critically,20
Set,27
1800,23
Groundsel,4
Necklaces,3
1943,86
tells,91
Jenny,9
rescues,15
poverty,26
agency,40
Scrooge,1
man,446
Mr.,80
Petercoo,1
tonally,1
suggests,124
Dickensian,1
social,226
consciousness,23
Simon,88
Swan,6
outlined,18
1953,83
1988,131
eight,393
guardian,13
angel,6
birthday,47
Promoting,1
Knowledge,9
1916,87
respectively,158
Christmas,175
Girls,57
Friendly,5
46,73
society,128
₤,3
1926,55
hung,10
booklet,6
cover,200
Propagation,2
Gospel,14
exhibition,38
Religious,16
1929,66
1933,58
triptychs,1
Feeding,10
Five,94
Thousand,4
chapel,77
Llandaff,4
House,265
Penarth,5
Wales,305
Parable,4
Supper,6
1934,51
George,288
Chapel,54
disappeared,34
photograph,9
dated,106
reproduces,2
1941,119
sacraments,5
baptismal,5
font,21
rolls,8
wall,175
1948,79
1962,65
1946,97
x,12
7,825
ft.,1
Out,53
Tribulation,2
Memorial,55
Norbury,2
Methodist,15
memorial,49
preparing,43
wash,13
feet,388
disciples,22
installed,60
Cards,9
J.,100
Salmon,14
Mission,35
Preservation,7
Holiday,13
1921,66
Elves,2
S.,135
Harvey,23
Guardian,65
Angel,24
1930s,91
Barton,6
Colton,13
Beautiful,8
Bible,51
1932,67
Songs,98
Thoughts,1
Picture,21
Verse,4
M.,99
K.,44
Westcott,1
Autumn,13
1927,59
rep,2
Hymn,4
New,1266
Alphabet,3
1937,76
Trees,41
Came,2
Window,3
Garden,33
Verses,2
Louis,89
Stevenson,17
1944,113
reprinted,24
Wayside,1
1950,96
Lively,3
Macmillan,6
1955,75
Numbers,20
1957,57
Words,8
Sand,12
Sea,145
Sun,202
Gibson,31
Posthumously,2
Winter,20
Seasons,5
Bedrick,1
Prayers,2
Treasury,18
Fairyopolis,2
2005,373
Wild,23
Cherry,21
Makes,7
Pippa,1
Le,116
Quesne,1
2006,515
How,33
find,286
2007,567
Return,27
2008,612
Epiphany,10
43,85
Annuals,1
Cecily,23
Cradle,1
roll,48
1922,46
Banner,10
Sanderstead,1
reredos,2
triptych,2
Seven,35
Sacraments,1
Baptist,29
banner,7
panel,60
Abesford,1
Lettering,1
sword,31
shield,15
mount,21
Forces,74
Andrews,16
Baptismal,1
St,211
Medthodist,1
Am,41
Among,98
Serveth,1
Gambia,20
national,311
football,243
represents,63
international,236
competed,32
match,426
recognised,57
FIFA,61
sport,94
governing,30
organised,49
1998,186
youth,54
teams,193
17,409
U,168
Women,51
Cup,343
qualifiers,4
withdrew,61
regional,72
faces,75
challenges,33
across,424
Africa,225
countries,159
popularity,108
worldwide,97
unranked,5
sanctioned,17
participated,95
tournaments,51
African,173
Championship,234
Games,149
Confederation,5
Football,156
Azerbaijan,4
fielded,8
narrowed,5
initial,161
pool,66
49,95
girls,43
SOS,3
Village,50
Bakoteh,1
Sierra,16
Leone,9
qualifying,32
matches,154
tournament,133
Banjul,1
delayed,56
hours,278
Makeni,1
beat,105
qualify,14
final,763
round,211
Tunisia,6
Adama,1
Tamba,3
Awa,1
Demba,2
scored,357
Gambian,1
win,405
qualified,42
2002,232
Morocco,12
Background,117
access,139
amongst,51
inequalities,1
human,334
rights,140
abuses,3
targeting,19
Funding,6
impacting,7
assistance,84
associations,24
Another,195
challenge,70
retention,9
Many,239
footballers,8
leave,187
continent,21
seek,52
greater,181
opportunity,91
Europe,327
founded,132
1952,95
affiliated,16
1968,102
organized,131
launched,194
course,156
Competition,11
active,154
scholastic,7
levels,151
2009,616
staffers,3
dedicated,130
Association,205
representation,47
board,122
charter,78
Plain,11
maskray,14
plain,62
brown,124
stingray,29
Neotrygon,3
annotata,3
species,723
Dasyatidae,2
shallow,34
soft,48
bottomed,3
habitats,40
northern,283
Australia,410
Reaching,5
cm,206
9,777
width,22
diamond,38
shaped,103
grayish,14
green,83
pectoral,11
fin,24
disc,59
whip,10
tail,97
alternating,14
bands,53
folds,11
below,155
rows,25
thorns,4
base,235
skin,90
smooth,44
possesses,11
dark,122
mask,16
pattern,81
eyes,80
genus,157
ornately,1
patterned,3
maskrays,4
Benthic,1
nature,199
feeds,13
mainly,147
caridean,2
shrimp,6
polychaete,4
worms,12
lesser,28
bony,9
fishes,9
viviparous,5
females,113
producing,82
litters,4
nourished,4
gestation,3
via,170
histotroph,4
uterine,4
milk,27
lacks,30
economic,113
value,110
caught,78
incidentally,6
bottom,101
trawls,3
able,372
withstand,7
gracile,3
distribution,82
fecundity,2
International,289
Conservation,50
Nature,21
IUCN,18
Threatened,9
Taxonomy,32
phylogeny,14
scientific,59
description,109
authored,23
Commonwealth,69
Scientific,13
Industrial,28
Research,71
Organisation,5
CSIRO,3
researcher,13
1987,118
Memoirs,3
Victoria,78
annotatus,1
Latin,186
notatus,1
marked,167
refers,63
ray,64
coloration,4
holotype,21
male,228
21,382
Western,205
paratypes,1
tentatively,6
Dasyatis,4
group,639
bluespotted,1
kuhlii,2
William,304
White,291
elevated,31
basis,134
morphological,7
molecular,42
phylogenetic,14
analysis,115
mitochondrial,12
nuclear,161
DNA,79
Ningaloo,1
N.,23
ningalooensis,1
basal,18
divergence,4
lineage,12
estimated,257
occurred,192
~,23
Ma,14
Furthermore,47
individuals,131
sequenced,3
study,303
sorted,3
genetically,4
clades,7
suggesting,60
cryptic,9
complex,138
putative,2
diverged,7
precipitating,1
event,277
likely,206
splitting,9
ancestral,13
population,431
coastline,29
changes,222
Description,42
thin,51
narrowly,21
rounded,29
outer,100
corners,17
measuring,41
wide,217
margins,13
gently,8
concave,2
converge,3
broad,55
angle,34
pointed,72
tip,46
snout,9
close,312
together,319
spiracles,5
nostrils,6
elongated,15
skirt,4
flap,3
mouth,111
bears,42
prominent,120
furrows,2
contains,202
slender,15
papillae,3
Small,27
pairs,43
gill,13
slits,5
pelvic,6
fins,18
fairly,30
barely,28
exceeding,18
intact,32
flattened,18
usually,222
stinging,2
spines,13
stings,3
ventral,8
fold,24
shorter,45
dorsal,21
dermal,4
denticles,3
midline,3
row,39
closely,92
spaced,21
becoming,211
pinkish,8
shape,127
blotches,5
variable,33
underside,10
grows,35
45,198
Distribution,23
habitat,92
inhabits,10
continental,42
shelf,11
Wellesley,1
Islands,68
Queensland,49
Bonaparte,14
Archipelago,5
Gulf,106
Carpentaria,1
Timor,14
Arafura,1
Seas,21
unsubstantiated,2
reports,134
range,379
extends,33
Papua,5
Guinea,32
least,345
native,159
region,349
dweller,3
prefers,15
fine,64
sediment,21
62,72
39,135
203,7
ft,435
deep,145
tends,27
farther,23
shore,66
Biology,6
ecology,18
hunts,3
surface,206
substrate,14
digging,21
prey,75
diet,54
consists,93
predominantly,34
eaten,24
penaeid,1
prawn,1
amphipod,1
Larger,9
rays,39
consume,12
variety,160
relatively,132
compared,181
parasitized,1
tapeworm,1
Acanthobothrium,2
jonesi,1
stingrays,4
developing,94
embryos,17
sustained,107
term,246
Mature,2
functional,28
ovary,3
uterus,7
Litter,3
size,233
newborns,3
measure,74
Males,24
reach,165
sexual,120
maturity,26
widths,3
maximum,127
lifespan,10
males,116
Human,62
interactions,42
conservation,55
threat,102
incidental,9
capture,131
commercial,232
trawl,1
fisheries,8
caused,383
Northern,187
Prawn,1
Fishery,1
operates,49
Although,514
discarded,22
delicate,21
bodied,7
thus,196
unlikely,45
survive,59
encounters,29
trawling,4
gear,14
Historically,16
Chinese,234
Taiwanese,5
trawlers,2
fished,3
intensively,3
1959,65
1990,144
These,434
factors,60
coupled,23
reproductive,14
rate,159
resulted,154
assessed,26
Columbus,45
Jackets,45
season,1641
Hockey,36
League,497
NHL,62
record,697
note,92
worst,81
straight,99
missed,75
playoffs,29
Consequently,26
receive,89
selection,56
Entry,7
Draft,26
lottery,6
Edmonton,9
Oilers,3
pick,51
start,296
Head,40
Coach,16
Scott,88
Arniel,4
fired,115
replaced,263
Assistant,21
Todd,32
Richards,17
personnel,98
trade,187
Star,185
forward,228
Jeff,57
Carter,73
fanfare,4
prospect,18
rebuild,15
looming,4
captain,93
Rick,31
Nash,26
requested,50
controversial,67
loss,240
Los,158
Angeles,136
Kings,28
Staples,8
clock,50
appeared,344
freeze,12
seconds,118
allowing,161
score,216
tying,19
winning,234
overtime,5
managed,152
streaks,9
helping,44
finish,87
65,91
total,444
Off,23
changed,190
moving,203
deal,171
Manager,20
Howson,8
acquisition,21
Jakub,1
Voracek,1
draft,96
eighth,71
Philadelphia,113
Flyers,2
exchange,64
fans,190
management,124
center,214
alongside,132
Next,50
negotiating,9
free,233
agent,79
Wisniewski,5
career,560
high,751
51,102
York,685
Islanders,3
Montreal,34
Canadiens,5
fifth,214
highest,255
league,250
defenseman,5
scoring,158
Tobias,11
Enstrom,1
terms,176
hour,151
prior,183
signing,75
33,137
million,933
former,482
Nikita,4
Filatov,2
Ottawa,14
Senators,21
failed,234
expectations,24
44,100
seasons,144
questioned,40
veteran,26
goaltender,15
Steve,110
Mason,19
Calder,16
Trophy,36
winner,71
struggled,46
consecutive,120
Mark,171
Dekanich,2
50,380
minutes,206
sign,101
Curtis,29
string,39
AHL,2
affiliate,9
Springfield,23
Falcons,3
training,233
ankle,15
sprain,4
line,712
Additionally,85
groin,5
injury,111
Allen,53
entering,81
December,647
injured,53
losing,131
streak,55
minute,192
Jason,47
Spezza,1
tied,85
power,484
Milan,15
Michalek,1
notched,4
helped,174
futility,2
Detroit,57
Red,222
Wings,8
milestones,7
reached,430
debut,223
Johansen,4
Moore,56
Grant,28
Clitsome,1
assists,16
momentum,18
struggle,58
culminating,17
struggling,22
shake,6
roster,14
Letestu,1
Pittsburgh,24
Penguins,12
Kris,4
Russell,36
Blues,35
Nikitin,1
clubs,92
slow,93
Ken,31
Hitchcock,11
coached,11
playoff,26
contract,200
Before,116
fruition,10
permission,43
hire,14
coaching,39
amassed,8
frame,60
Boston,102
Bruins,30
shootout,9
posting,8
38,172
average,249
.947,1
percentage,45
starts,108
might,230
numerous,166
hit,220
warm,63
ups,15
concussion,4
Vancouver,18
Canucks,3
suffering,68
cramping,1
temporarily,47
breaking,72
seen,450
However,885
going,235
stretch,23
continuing,67
trading,62
discussions,26
inquired,1
better,218
willing,54
waive,3
clause,8
publicly,34
intention,55
More,83
attributed,80
Réseau,1
des,81
sports,89
unhappy,17
demanded,33
ever,299
unsure,17
deadline,21
approaching,36
speculation,36
picked,76
Reports,19
trying,88
100,551
percent,159
halfway,16
double,180
digit,9
wins,85
sitting,40
interim,19
Minnesota,154
Phoenix,57
Coyotes,6
fortunes,13
break,121
owner,72
P.,63
McConnell,2
letter,123
stating,152
understanding,61
frustration,20
disappointing,19
committed,64
proud,16
thanked,3
dedication,34
passion,33
reiterating,3
consistently,38
compete,58
Stanley,66
Days,31
protest,82
Nationwide,4
Arena,21
Fans,7
upset,45
calling,145
protested,16
host,101
2013,452
representative,54
star,390
represented,134
rookie,15
participant,6
Super,148
Skills,2
Allstate,1
Insurance,10
Breakaway,2
Challenge,9
judged,24
%,881
vote,55
road,380
Drew,8
Doughty,2
Upon,100
froze,3
expiring,4
Dean,51
Lombardi,5
correct,57
extra,93
corrects,1
blog,11
amazing,26
coincidence,6
mad,16
scramble,6
our,179
net,37
dying,35
hockey,31
stopped,89
adding,93
Either,5
deliberate,14
stopping,28
malfunctioned,1
Senior,23
Vice,56
Operations,37
Colin,22
Campbell,46
wronged,2
outcome,26
delay,39
noticed,20
ice,84
Toronto,57
pause,7
investigation,46
talking,50
manufacturer,27
interviewing,9
weeks,306
unlike,58
earlier,293
proposals,30
involving,65
actively,25
shopping,15
options,33
improving,28
Speculation,2
ask,30
combination,93
proven,18
prospects,14
picks,8
dealt,32
Antoine,6
Vermette,1
McElhinney,2
Despite,260
believed,319
flexibility,6
Jack,193
Johnson,144
Samuel,81
Pahlsson,1
fourth,328
Taylor,175
Ellington,4
rebuilding,20
phase,105
huge,53
bringing,72
assets,18
view,211
thing,90
organization,119
personally,47
shutout,14
Colorado,63
Avalanche,7
proceeded,36
posted,61
regulation,26
victories,59
defeated,214
earn,38
immediately,162
matched,14
ten,312
eliminated,50
contention,12
Shortly,87
clinched,7
30th,22
Three,173
skate,4
Gillies,1
Playing,26
saves,61
starter,41
led,579
shots,69
Mike,115
lowest,66
shorthanded,2
64,93
penalty,86
kill,98
76,67
Finishing,2
weighted,6
48,97
drafting,6
leapfrog,1
secure,81
dropped,112
participations,2
coach,158
press,135
conference,74
continuously,21
earned,178
Standings,2
expansion,72
Central,189
Division,516
Conference,109
Blackhawks,1
Nashville,26
Predators,7
36,142
Divisions,18
CE,47
NW,5
Northwest,29
PA,27
bold,22
y,28
Won,7
p,10
Presidents,5
Schedule,5
results,122
background,134
indicates,43
Silver,45
Player,65
statistics,56
collectively,23
Penalty,2
infractions,2
season.Plus,1
minus,11
statistic,5
effect,173
Below,13
listing,58
Skaters,1
Pos,1
Position,1
GP,2
G,42
Goals,5
Assists,1
Pts,6
PIM,1
+,182
Plus,8
Goaltenders,1
Played,7
TOI,1
Time,153
Ice,14
W,39
Wins,6
L,87
Losses,8
OT,1
Overtime,1
GA,88
Against,12
GAA,5
Average,6
SA,2
Shots,1
SV,1
Saves,2
Sv,9
Save,12
Percentage,1
SO,2
Shutouts,1
†,9
Denotes,2
joining,46
Stats,1
reflect,37
‡,2
Traded,1
mid,285
Milestones,2
remedy,11
University,440
Michigan,113
Shawn,11
Hunwick,6
tryout,2
NCAA,39
Tournament,13
skipped,2
astronomy,9
drove,48
worn,38
2003,334
Ford,28
Ranger,23
depth,112
chart,277
behest,6
teammates,19
put,309
ninth,78
Conversely,14
Vaclav,1
Prospal,1
"1,000th",3
Transactions,4
parted,7
defensemen,1
Jan,29
Hejda,2
Anton,11
Stralman,2
Sami,5
Lepisto,2
Commodore,29
undervalued,1
offers,79
unrestricted,4
agents,56
big,106
waived,4
minors,4
replace,80
departed,40
Radek,1
Martinek,2
missing,88
Brett,8
Lebda,1
Gregorian,11
Italian,146
Torre,5
Gregoriana,1
Winds,15
dei,1
Venti,1
Gallery,51
Maps,3
connects,32
Villa,184
Belvedere,2
Apostolic,7
Palace,66
Vatican,14
1578,2
1580,3
Bolognese,1
architect,43
Ottaviano,1
Mascherino,1
credited,86
Calendar,5
Reform,7
commissioned,99
Pope,79
Gregory,39
XIII,41
promulgated,7
1582,2
Specola,1
Astronomica,1
Vaticana,2
Observatory,27
Four,96
stages,101
progressive,21
edifice,8
astronomical,23
observations,66
sundial,5
confirmation,13
reform,31
Julian,28
calendar,17
stage,279
Leo,28
motu,2
proprio,2
Ut,2
mysticam,2
1891,31
1572,1
1585,2
directive,9
equip,7
greatest,170
experts,33
appointed,239
BC,104
verify,6
reforms,45
Fr,2
Christoph,5
Clavius,1
Jesuit,10
mathematician,7
Roman,293
College,167
expert,31
committee,92
suggested,253
73,35
metres,207
240,35
flanked,19
della,3
Pigna,1
courtyards,5
instrumentation,28
observation,41
sun,38
falling,66
meridian,3
Ignazio,2
Danti,2
Perugia,5
circular,31
marble,24
plate,33
centre,178
embellished,3
remains,268
undergone,14
centuries,100
17th,104
18th,131
librarian,2
Mgr,2
Filippo,5
Luigi,6
Gilii,3
clergyman,8
Basilica,8
Earlier,11
1797,7
Pius,10
VI,22
approval,51
inscription,55
Specula,1
implemented,29
Cardinal,89
Zelada,1
enhance,20
observatory,38
apart,68
normal,90
devices,22
meteorological,14
magnetic,44
seismograph,1
transit,91
pendulum,2
Dolland,1
Telescope,10
facilitated,19
recording,246
occurrences,5
eclipse,11
comets,3
Satellites,1
Jupiter,122
Mercury,15
patronage,20
rotary,1
domes,2
strategic,39
locations,87
300,165
400,181
fortification,11
thousand,57
respected,26
polyglot,1
physics,35
biology,10
archeology,2
Hebrew,36
language,233
1821,20
continuous,40
twice,123
AM,4
PM,2
conforming,3
programme,56
Mannheim,1
Meteorological,38
manuscript,22
preserved,68
Subsequent,11
discontinued,24
Established,7
1787,6
Third,70
revival,41
initiated,51
Barnabite,1
Francesco,7
Denza,2
High,152
generous,11
donations,28
Hicks,2
London,418
automatic,16
Paris,161
inch,120
equatorial,8
instrument,27
clocks,4
chronometers,1
Modena,1
1888,27
gift,42
telescope,22
Father,30
joined,255
1889,41
upgraded,46
overlooking,23
border,123
diameter,74
56,82
thickness,25
bear,41
load,36
photographic,5
refractor,2
Augustinian,2
Rodriguez,13
meteorologist,3
1898,32
1905,54
promulgating,1
seat,90
decision,223
altering,10
roof,61
terrace,13
Fourth,25
remedying,1
communicating,7
towers,69
historical,149
carry,84
linking,21
fortified,26
83,35
272,3
bridge,118
spanning,16
gap,44
semicircular,6
bastion,1
gendarmes,9
heliograph,2
camera,64
photoheliograph,1
Pio,1
erected,53
result,423
modifications,13
Pontifical,1
Academy,142
Lincei,1
seismic,6
shifted,34
Valle,1
di,23
Pompei,1
Astronomical,9
rooms,58
Repsold,1
machines,48
astrographic,1
plates,23
explanatory,1
notes,218
atlas,1
stars,341
Charts,48
printed,43
silver,98
bromide,3
Features,6
mezzanine,2
famous,108
Sundial,2
Meridian,5
loggia,1
Urban,28
VIII,14
enclosed,18
subsequently,185
decorated,43
sequences,58
frescoes,11
Lagi,1
Flemish,13
Paul,251
Matthijs,2
Bril,1
Today,102
Cristoforo,1
Roncalli,1
Matteino,1
da,38
Siena,1
Christina,10
Sweden,45
Catholicism,26
modified,61
additions,10
current,184
sophisticated,16
anemoscope,2
fixed,65
ceiling,27
papal,23
cosmographer,1
running,221
height,107
noon,9
according,218
contrast,121
mechanism,27
strength,153
wind,125
functioning,11
Athens,9
source,171
inspiration,70
hall,55
richly,10
cases,117
gaudy,1
hills,40
countryside,23
Pantheons,1
shipwrecks,2
Jesus,69
calming,3
storm,626
forth,29
Got,40
Be,72
Way,98
songwriter,34
Mariah,31
Carey,316
titled,137
album,1328
Columbia,84
Kingdom,353
Ric,11
Wake,12
session,74
composition,100
track,442
socio,8
political,372
conscious,7
R,155
B,263
pop,124
addresses,20
existence,93
racism,15
aspirational,2
garnered,34
mixed,228
reception,147
vocals,165
highlights,25
injustices,1
Singles,76
Chart,94
Co,37
Narada,1
Michael,266
Walden,2
appears,190
engineered,13
Bob,124
Cadway,1
Cove,22
Sound,59
Studios,103
Power,65
assisted,51
Dana,15
Jon,42
Chappelle,2
David,331
Frazer,2
Tarpan,4
San,227
Rafael,31
keyboards,19
rhythm,55
engineering,71
Biancaniello,1
Joe,77
Franco,18
Vernon,17
Rich,25
Tancredo,1
performing,92
Afanasieff,12
synth,10
horns,22
Billy,35
T.,68
Jamiliah,1
Muhammed,3
Ensemble,7
CD,73
remixes,28
vinyl,14
Composition,36
gospel,30
activism,8
got,176
connect,27
begins,177
denouncing,3
uplifting,2
we,429
tolerant,7
resort,17
Couldn,10
accept,71
Can,27
ourselves,6
aware,53
Critical,83
Christgau,6
brave,7
idealistic,3
destitution,2
Ralph,28
Novak,22
Hiltbrand,1
Grogan,1
testimony,16
talent,38
write,144
clarity,6
makes,196
mesmerizing,2
mark,70
twenty,141
Billboard,216
Trevor,14
Anderson,157
2015,331
melodic,5
opener,16
Vision,9
Love,315
